iter	Passed	Remaining
381	28560	46205
382	28646	46148
383	28730	46089
384	28801	46007
385	28878	45935
386	28949	45856
387	29023	45779
388	29089	45690
389	29152	45597
390	29219	45510
391	29281	45416
392	29352	45335
393	29419	45249
394	29501	45185
395	29580	45118
396	29671	45067
397	29766	45023
398	29872	44996
399	29978	44968
400	30109	44975
401	30311	45090
402	30421	45065
403	30514	45016
404	30599	44954
405	30768	45015
406	30871	44979
407	30959	44921
408	31036	44847
409	31101	44756
410	31173	44674
411	31244	44591
412	31320	44515
413	31399	44444
414	31474	44368
415	31548	44289
416	31615	44201
417	31681	44112
418	31749	44024
419	31849	43982
420	31924	43906
421	32002	43832
422	32070	43746
423	32147	43672
424	32219	43591
425	32302	43524
426	32406	43486
427	32516	43456
428	32633	43435
429	32812	43495
430	32968	43524
431	33044	43447
432	33112	43359
433	33196	43292
434	33283	43229
435	33363	43158
436	33426	43064
437	33501	42986
438	33601	42939
439	33706	42899
440	33799	42842
441	33894	42790
442	33981	42725
443	34036	42622
444	34102	42532
445	34197	42478
446	34296	42429
447	34409	42397
448	34497	42334
449	34573	42256
450	34700	42240
451	34824	42220
452	34881	42120
453	34947	42029
454	35030	41960
455	35112	41888
456	35208	41833
457	35272	41741
458	35345	41660
459	35427	41588
460	35518	41527
461	35598	41454
462	35675	41377
463	35742	41288
464	35807	41197
465	35912	41153
466	36008	41096
467	36114	41052
468	36222	41010
469	36300	40934
470	36386	40866
471	36457	40782
472	36559	40733
473	36633	40651
474	36699	40562
475	36763	40471
476	36855	40409
477	36922	40321
478	37029	40276
479	37155	40252
480	37220	40160
481	37296	40081
482	37377	40008
483	37459	39936
484	37530	39851
485	37623	39791
486	37695	39707
487	37757	39614
488	37836	39538
489	37966	39515
490	38090	39486
491	38172	39413
492	38244	39330
493	38346	39277
494	38440	39216
495	38549	39171
496	38636	39102
497	38710	39021
498	38803	38959
499	38860	38860
500	38923	38768
501	38993	38682
502	39072	38606
503	39161	38539
504	39236	38459
505	39313	38380
506	39416	38327
507	39526	38281
508	39632	38230
509	39730	38172
510	39796	38082
511	39887	38017
512	39952	37927
513	40022	37842
514	40114	37778
515	40286	37787
516	40396	37739
517	40465	37653
518	40531	37563
519	40608	37485
520	40828	37537
521	40919	37470
522	40989	37384
523	41056	37295
524	41136	37218
525	41236	37159
526	41329	37094
527	41414	37021
528	41482	36934
529	41546	36843
530	41611	36753
531	41739	36718
532	41855	36672
533	41923	36585
534	41995	36500
535	42065	36414
536	42125	36320
537	42182	36223
538	42252	36138
539	42323	36052
540	42390	35965
541	42469	35887
542	42528	35793
543	42594	35704
544	42659	35614
545	42777	35569
546	42892	35521
547	42996	35464
548	43057	35371
549	43132	35290
550	43247	35241
551	43319	35157
552	43384	35068
553	43533	35046
554	43661	35008
555	43745	34933
556	43851	34876
557	43981	34838
558	44081	34776
559	44169	34704
560	44244	34622
561	44303	34528
562	44372	34442
563	44468	34376
564	44555	34303
565	44647	34234
566	44796	34209
567	44933	34174
568	45055	34128
569	45156	34065
570	45280	34020
571	45346	33930
572	45418	33845
573	45487	33759
574	45555	33671
575	45627	33587
576	45689	33494
577	45767	33415
578	45840	33331
579	45911	33246
580	45978	33158
581	46096	33107
582	46187	33036
583	46349	33015
584	46470	32966
585	46560	32894
586	46635	32811
587	46701	32723
588	46780	32642
589	46866	32568
590	46946	32489
591	47016	32403
592	47089	32319
593	47181	32248
594	47249	32161
595	47313	32071
596	47380	31984
597	47439	31890
598	47506	31803
599	47577	31718
600	47638	31626
601	47704	31539
602	47779	31456
603	47843	31367
604	47922	31287
605	47993	31203
606	48057	31114
607	48144	31040
608	48221	30959
609	48288	30873
610	48352	30784
611	48419	30697
612	48485	30609
613	48561	30529
614	48633	30445
615	48696	30355
616	48766	30271
617	48829	30182
618	48909	30104
619	48994	30029
620	49084	29956
621	49199	29899
622	49277	29819
623	49341	29731
624	49434	29660
625	49550	29603
626	49631	29525
627	49751	29470
628	49829	29390
629	50008	29370
630	50112	29304
631	50184	29221
632	50256	29137
633	50322	29050
634	50402	28971
635	50483	28893
636	50566	28815
637	50683	28757
638	50749	28670
639	50841	28598
