iter	RMSE
0	0.05017079128
1	0.04931801349
2	0.04846564011
3	0.04768768229
4	0.04694031153
5	0.04620667441
6	0.04550510589
7	0.04486564374
8	0.04420867365
9	0.04356562391
10	0.04299488038
11	0.04243523475
12	0.04188836308
13	0.04134400011
14	0.04082095488
15	0.04029889836
16	0.03978951421
17	0.03932598063
18	0.03885817293
19	0.03838535779
20	0.03795612526
21	0.03754535822
22	0.03713095777
23	0.03673285081
24	0.03634961197
25	0.03596922711
26	0.0356058062
27	0.03526803036
28	0.03492857954
29	0.03460129366
30	0.03428440117
31	0.03398096912
32	0.03367375376
33	0.03338426651
34	0.03309615431
35	0.03281496417
36	0.03253582081
37	0.03227475831
38	0.03202068309
39	0.03176704631
40	0.03152033577
41	0.03127121394
42	0.03102997888
43	0.030791976
44	0.03056752866
45	0.03034259455
46	0.03012533193
47	0.02991932656
48	0.0297201206
49	0.02951912119
50	0.02931751194
51	0.02911873831
52	0.02891822959
53	0.02873254958
54	0.02854981169
55	0.028367641
56	0.02819224916
57	0.02803284259
58	0.02787309713
59	0.02771135298
60	0.02755467308
61	0.02739786814
62	0.02724413812
63	0.02709751905
64	0.02695244865
65	0.02681058617
66	0.02667103431
67	0.02653166751
68	0.0263946273
69	0.02626235674
70	0.02613897869
71	0.02601831105
72	0.0258983863
73	0.02578006326
74	0.0256637912
75	0.02554811011
76	0.02543699533
77	0.02533543658
78	0.02523235694
79	0.02513086918
80	0.02503214553
81	0.02493102022
82	0.02483304999
83	0.0247385871
84	0.02464726741
85	0.02455642461
86	0.02446911148
87	0.02438421163
88	0.02430245811
89	0.0242222868
90	0.02414307599
91	0.02406588379
92	0.02398826376
93	0.02391370284
94	0.02383651229
95	0.02376157542
96	0.02368792448
97	0.02361946067
98	0.02355220711
99	0.02348503869
100	0.0234185258
101	0.02335548469
102	0.02329240468
103	0.02323085148
104	0.02317084077
105	0.02311227468
106	0.02305295317
107	0.02299575989
108	0.02293838504
109	0.02288334663
110	0.02282905476
111	0.02277629006
112	0.02272422281
113	0.02267216248
114	0.0226207916
115	0.0225720573
116	0.02252452183
117	0.02247709821
118	0.02243141942
119	0.02238676889
120	0.0223430404
121	0.02229938313
122	0.02225618791
123	0.02221504379
124	0.02217444861
125	0.02213529122
126	0.02209620357
127	0.02205732675
128	0.02201910004
129	0.02198074204
130	0.02194394042
131	0.02190803038
132	0.02187254436
133	0.02183794392
134	0.02180467002
135	0.02177290579
136	0.02174122478
137	0.02171047835
138	0.02168033598
139	0.02165080152
140	0.02162129548
141	0.02159252856
142	0.02156409375
143	0.0215363031
144	0.02150903864
145	0.02148225566
146	0.02145568042
147	0.02142975706
148	0.02140455317
149	0.02137942593
150	0.02135492521
151	0.02133088122
152	0.02130728563
153	0.02128434829
154	0.02126210893
155	0.0212407207
156	0.02121947811
157	0.02119848403
158	0.02117787632
159	0.02115755658
160	0.02113768311
161	0.02111813871
162	0.02109896983
163	0.02108015083
164	0.02106196366
165	0.02104413649
166	0.02102589105
167	0.02100822197
168	0.0209912991
169	0.02097452569
170	0.0209577969
171	0.02094207374
172	0.02092619471
173	0.02091087636
174	0.0208957181
175	0.02088056416
176	0.02086615352
177	0.02085181403
178	0.0208374542
179	0.02082343283
180	0.02080960879
181	0.02079582859
182	0.02078256826
183	0.02076948383
184	0.02075681176
185	0.02074424849
186	0.02073178079
187	0.02071992054
188	0.02070788296
189	0.02069595928
190	0.02068452384
191	0.02067333688
192	0.02066243962
193	0.02065145395
194	0.02064046179
195	0.02062998876
196	0.02061958525
197	0.02060933425
198	0.02059942599
199	0.02058966478
200	0.02057974845
201	0.02057030018
202	0.02056071824
203	0.02055134179
204	0.02054216988
205	0.0205331179
206	0.02052425606
207	0.02051537969
208	0.02050677373
209	0.02049830299
210	0.02049021779
211	0.02048205735
212	0.02047410485
213	0.0204661728
214	0.02045848926
215	0.02045098278
216	0.02044353527
217	0.02043629173
218	0.02042913977
219	0.02042197467
220	0.02041497899
221	0.02040816586
222	0.02040132593
223	0.02039465261
224	0.02038792853
225	0.0203815681
226	0.02037515927
227	0.02036892999
228	0.02036287821
229	0.02035689149
230	0.02035094321
231	0.0203452704
232	0.02033956067
233	0.02033370208
234	0.02032816534
235	0.02032267585
236	0.02031730053
237	0.02031211151
238	0.02030689397
239	0.02030187582
240	0.02029690371
241	0.02029208539
242	0.02028718327
243	0.02028246095
244	0.02027782432
245	0.02027323153
246	0.02026868546
247	0.02026419847
248	0.02025969528
249	0.02025520253
250	0.02025109298
251	0.02024691797
252	0.02024287516
253	0.02023882716
254	0.02023491013
255	0.02023093672
256	0.02022702562
257	0.02022309336
258	0.02021933368
259	0.02021550384
260	0.02021183583
261	0.02020824813
262	0.0202048132
263	0.02020132316
264	0.0201978891
265	0.02019459028
266	0.02019125863
267	0.02018793466
